,USER,2022-06_ALLOCATIONS,2022-06_CURTAILMENT,2022-06_DEMAND,2022-06_SHORTAGE_%,BASIN,PRIORITY
234,A026022B,0.00020219999999999998,0,0.0002022,0.0,R_01,585
235,A026055A,0.00020219999999999998,0,0.0002022,0.0,R_01,586
236,A026055B,0.00020219999999999998,0,0.0002022,0.0,R_01,587
237,A026079,0.00020219999999999998,0,0.0002022,0.0,R_01,588
238,A026110,0.00020219999999999998,0,0.0002022,0.0,R_01,589
240,A026143,0.00020219999999999998,0,0.0002022,0.0,R_01,591
245,A026201,0.00020219999999999998,0,0.0002022,0.0,R_01,596
247,A026250,0.00020219999999999998,0,0.0002022,0.0,R_01,598
254,A026927,0.00020219999999999998,0,0.0002022,0.0,R_01,606
256,A027036,0.00020219999999999998,0,0.0002022,0.0,R_01,608
259,A027301,0.00020219999999999998,0,0.0002022,0.0,R_01,611
261,A027460,0.00107417,0,0.001074167,0.0,R_01,614
265,A027791,0.00020219999999999998,0,0.0002022,0.0,R_01,622
270,A028127,0.00020219999999999998,0,0.0002022,0.0,R_01,630
274,A028632,0.00020219999999999998,0,0.0002022,0.0,R_01,634
275,A028633,0.00020219999999999998,0,0.0002022,0.0,R_01,635
276,A028635,0.00020219999999999998,0,0.0002022,0.0,R_01,636
277,A028636,0.015,0,0.015,0.0,R_01,637
278,A028640,0.00020219999999999998,0,0.0002022,0.0,R_01,638
279,A028641,0.00020219999999999998,0,0.0002022,0.0,R_01,639
280,A028642,0.00020219999999999998,0,0.0002022,0.0,R_01,640
281,A028643,0.00020219999999999998,0,0.0002022,0.0,R_01,641
282,A028647,0.00020219999999999998,0,0.0002022,0.0,R_01,642
283,A028648,0.00118925,0,0.00118925,0.0,R_01,643
284,A028649,0.00020219999999999998,0,0.0002022,0.0,R_01,644
285,A028650,0.00020219999999999998,0,0.0002022,0.0,R_01,645
286,A028651,0.00020219999999999998,0,0.0002022,0.0,R_01,646
287,A028653,0.00020219999999999998,0,0.0002022,0.0,R_01,647
288,A028676,0.00020219999999999998,0,0.0002022,0.0,R_01,649
289,A028715,0.035,0,0.035,0.0,R_01,650
290,A028738,0.00020219999999999998,0,0.0002022,0.0,R_01,651
291,A028786,0.00020219999999999998,0,0.0002022,0.0,R_01,652
292,A028787,0.55,0,0.55,0.0,R_01,653
295,A028925,0.00020219999999999998,0,0.0002022,0.0,R_01,659
296,A028926,0.00020219999999999998,0,0.0002022,0.0,R_01,660
297,A028927,0.00020219999999999998,0,0.0002022,0.0,R_01,661
302,A029202,0.00020219999999999998,0,0.0002022,0.0,R_01,666
303,A029203,0.00020219999999999998,0,0.0002022,0.0,R_01,667
308,A029401,0.00020219999999999998,0,0.0002022,0.0,R_01,674
311,A029480,0.00020219999999999998,0,0.0002022,0.0,R_01,685
313,A029595,0.00020219999999999998,0,0.0002022,0.0,R_01,689
317,A029719,0.00020219999999999998,0,0.0002022,0.0,R_01,695
322,A030349,0.00020219999999999998,0,0.0002022,0.0,R_01,709
323,A030363,0.00020219999999999998,0,0.0002022,0.0,R_01,712
330,A031059,0.00020219999999999998,0,0.0002022,0.0,R_01,748
331,A031060,0.00020219999999999998,0,0.0002022,0.0,R_01,749
335,A031259,0.00020219999999999998,0,0.0002022,0.0,R_01,759
337,A031435,0.00020219999999999998,0,0.0002022,0.0,R_01,782
357,D029448,0.00020219999999999998,0,0.0002022,0.0,R_01,682
358,D029572,0.00020219999999999998,0,0.0002022,0.0,R_01,688
360,D030346,0.015,0,0.015,0.0,R_01,711
361,D030427,0.00020219999999999998,0,0.0002022,0.0,R_01,715
376,D030969,0.00020219999999999998,0,0.0002022,0.0,R_01,747
377,D030985,0.165,0,0.165,0.0,R_01,750
380,D031146,0.005,0,0.005,0.0,R_01,754
385,D031411,0.00020219999999999998,0,0.0002022,0.0,R_01,773
387,D031472,0.00020219999999999998,0,0.0002022,0.0,R_01,777
388,D031475,0.00020219999999999998,0,0.0002022,0.0,R_01,786
389,D031476,0.00020219999999999998,0,0.0002022,0.0,R_01,779
390,D031477,0.005,0,0.005,0.0,R_01,778
391,D031542,0.00020219999999999998,0,0.0002022,0.0,R_01,788
392,D031563,0.00168117,0,0.0016811670000000001,0.0,R_01,789
393,D031589,0.00020219999999999998,0,0.0002022,0.0,R_01,792
396,D031606,0.015,0,0.015,0.0,R_01,795
402,D032022,0.2,0,0.2,0.0,R_01,817
414,D032762,0.155,0,0.155,0.0,R_01,846
415,D032859,0.01,0,0.01,0.0,R_01,847
419,H032009,0.00020219999999999998,0,0.0002022,0.0,R_01,815
421,H032331,0.00020219999999999998,0,0.0002022,0.0,R_01,839
426,H500399,0.00020219999999999998,0,0.0002022,0.0,R_01,850
427,H500522,0.00020219999999999998,0,0.0002022,0.0,R_01,849
429,H500733,0.00020219999999999998,0,0.0002022,0.0,R_01,854
430,H500800,0.00020219999999999998,0,0.0002022,0.0,R_01,861
441,H505968,0.00020219999999999998,0,0.0002022,0.0,R_01,866
447,H508419,0.00020219999999999998,0,0.0002022,0.0,R_01,874
448,H509523,0.00020219999999999998,0,0.0002022,0.0,R_01,877
451,L031378,0.00020219999999999998,0,0.0002022,0.0,R_01,766
455,L031414,0.00020219999999999998,0,0.0002022,0.0,R_01,775
456,L031415A,0.00020219999999999998,0,0.0002022,0.0,R_01,842
457,L031420,0.00020219999999999998,0,0.0002022,0.0,R_01,776
462,L031528,0.00020219999999999998,0,0.0002022,0.0,R_01,787
463,L031573,0.00020219999999999998,0,0.0002022,0.0,R_01,790
465,L031605,0.015,0,0.015,0.0,R_01,796
478,L032279,0.00020219999999999998,0,0.0002022,0.0,R_01,836
483,S009905,0.00020219999999999998,0,0.0002022,0.0,R_01,40
491,S015509,0.00020219999999999998,0,0.0002022,0.0,R_01,41
494,S017020,0.285,0,0.285,0.0,R_01,21
499,S018456,0.04,0,0.04,0.0,R_01,33
500,S018457,0.00020219999999999998,0,0.0002022,0.0,R_01,34
501,S018523,0.025,0,0.025,0.0,R_01,35
502,S019389,0.00020219999999999998,0,0.0002022,0.0,R_01,42
503,S019392,0.00020219999999999998,0,0.0002022,0.0,R_01,43
504,S019395,0.00020219999999999998,0,0.0002022,0.0,R_01,44
505,S020096,0.2,0,0.2,0.0,R_01,22
506,S021358,0.000767167,0,0.000767167,0.0,R_01,2
507,S021382,0.00020219999999999998,0,0.0002022,0.0,R_01,37
508,S023687,0.00020219999999999998,0,0.0002022,0.0,R_01,23
