BASIN,2022-06_ALLOCATIONS,2022-06_AVAILABLE_FLOW,2022-06_DEMAND
R_01,11.037096887000008,69.46554460600001,11.037096885000008
R_02,3.3519523499999995,34.70060426000001,3.3519523499999995
R_02_MSRR,101.59684595,6493.44986947823,101.59684595
R_03,0.00040439999999999996,7.398100615,0.0004044
R_03_MSRR,222.44060660000002,6495.046395332521,222.44060660000002
R_04,0.03691847,38.904516685,0.036918467
R_04_MSRR,290.8988006,6519.828928029521,290.8988006
R_05,2.4197169,30.902263836,2.4197169
R_05_MSRR,167.98404399999995,6527.225165767066,167.98404399999995
R_06,0.4942569000000002,74.74643093499998,0.4942569000000002
R_06_MSRR,120.03743393,6543.738293770813,120.03743393399999
R_07,0.016415399999999997,6.7425480790000005,0.016415399999999997
R_08,0.362124334,26.888827539,0.362124334
R_09,3.9211528335,22.595410160000004,3.9211528335
R_09_MSRR,124.119842137,6555.020980503875,124.11984213400001
R_10,1.2226286,3.84935804,1.2226286
R_10_MSRR,42.247426399999995,6557.567717456774,42.247426399999995
R_11,11.08099335,16.950312049,11.08099335
R_12,7.612132000000003,16.103101363,7.612132000000003
R_12_MSRR,123.805055,6565.122323712012,123.805055
R_13,0.0,0.0,75.506011
R_13_MSRR,33.4802022,6565.379137522387,33.4802022
