APPLICATION_NUMBER,ASSIGNED_PRIORITY_DATE_SUB,ASSIGNED_PRIORITY_DATE_SOURCE,PRIORITY,PRIORITY_CLASS,UPPER_RUSSIAN
A019351,19600412,APPLICATION_ACCEPTANCE_DATE,10000,1960-1970,N
A015736,19540218,APPLICATION_ACCEPTANCE_DATE,9999,1953-1954,N
A015737,19540218,APPLICATION_ACCEPTANCE_DATE,9998,1953-1954,N
