,USER,2022-06_ALLOCATIONS,2022-06_CURTAILMENT,2022-06_DEMAND,2022-06_SHORTAGE_%,BASIN,PRIORITY
0,S002379,0.0001015935702,1,0.0002022,49.7559,R_12_MSRR,10000000
1,S008071,4.28768424,1,9.18,53.2932,R_02_MSRR,10000000
2,S008074,9.61139502e-05,1,0.0002022,52.4659,R_06_MSRR,10000000
3,S008075,9.61139502e-05,1,0.0002022,52.4659,R_05_MSRR,10000000
4,S008082,9.61139502e-05,1,0.0002022,52.4659,R_05_MSRR,10000000
5,S008128,0.660709915,1,1.315,49.7559,R_12_MSRR,10000000
6,S008184,0.17748584,1,0.38,53.2932,R_02_MSRR,10000000
7,S008596,0.19616856,1,0.42,53.2932,R_04_MSRR,10000000
8,S011330,0.28639137,1,0.57,49.7559,R_12_MSRR,10000000
9,S011331,0.243683885,1,0.485,49.7559,R_12_MSRR,10000000
10,S013153,9.44411496e-05,1,0.0002022,53.2932,R_04_MSRR,10000000
11,S013696,1.9488981,1,4.1,52.4659,R_09_MSRR,10000000
12,S014005,9.61139502e-05,1,0.0002022,52.4659,R_09_MSRR,10000000
13,S014057,0.553772265,1,1.165,52.4659,R_10_MSRR,10000000
14,S014062,9.61139502e-05,1,0.0002022,52.4659,R_10_MSRR,10000000
15,S014063,9.61139502e-05,1,0.0002022,52.4659,R_10_MSRR,10000000
16,S014064,9.61139502e-05,1,0.0002022,52.4659,R_10_MSRR,10000000
17,S014065,9.61139502e-05,1,0.0002022,52.4659,R_10_MSRR,10000000
18,S014066,0.00475341,1,0.01,52.4659,R_10_MSRR,10000000
19,S014071,0.24480061500000005,1,0.515,52.46589999999999,R_09_MSRR,10000000
20,S014072,9.61139502e-05,1,0.0002022,52.4659,R_09_MSRR,10000000
21,S014073,0.268567665,1,0.565,52.4659,R_09_MSRR,10000000
22,S014074,0.12596536500000002,1,0.265,52.4659,R_09_MSRR,10000000
23,S014077,9.61139502e-05,1,0.0002022,52.4659,R_09_MSRR,10000000
24,S014078,9.61139502e-05,1,0.0002022,52.4659,R_09_MSRR,10000000
25,S014079,0.720141615,1,1.515,52.4659,R_09_MSRR,10000000
26,S014086,3.619721715,1,7.615,52.4659,R_10_MSRR,10000000
27,S014087,9.61139502e-05,1,0.0002022,52.4659,R_10_MSRR,10000000
28,S014088,0.173499465,1,0.365,52.4659,R_10_MSRR,10000000
29,S014089,0.83184675,1,1.75,52.4659,R_10_MSRR,10000000
30,S014092,1.21211955,1,2.55,52.4659,R_10_MSRR,10000000
31,S014094,0.40403985,1,0.85,52.4659,R_10_MSRR,10000000
32,S014200,9.61139502e-05,1,0.0002022,52.4659,R_09_MSRR,10000000
33,S014205,0.00026981081700000004,1,0.000537,49.7559,R_13_MSRR,10000000
34,S014322,9.44411496e-05,1,0.0002022,53.2932,R_04_MSRR,10000000
