USER,RIPARIAN,BASIN,MAINSTEM,UPPER_RUSSIAN,PRIORITY,PRIORITY_CLASS,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,NULL_DEMAND,ZERO_DEMAND,MAY_SEPT_ZERO_DEMAND
A013288,N,R_04_MSRR,Y,Y,92,PRE-1949+1949,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,4.38,9.7,7.73,6.5,8.9,0.0002022,0.0002022,N,N,N
A013289,N,R_09_MSRR,Y,Y,93,PRE-1949+1949,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.55,2.5,1.4,0.0002022,0.0002022,0.0002022,0.0002022,N,N,N
A013331,N,R_12_MSRR,Y,Y,94,PRE-1949+1949,0.0002022,0.0002022,0.0002022,0.2,0.14,0.165,1.41,1.76,1.18,0.94,0.14,0.0002022,N,N,N
A013391,N,R_12_MSRR,Y,Y,95,PRE-1949+1949,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,Y,Y
A013468,N,R_12_MSRR,Y,Y,96,PRE-1949+1949,0.0002022,0.0002022,0.0002022,0.0002022,0.29,0.29,0.58,0.49,0.54,0.39,0.0002022,0.0002022,N,N,N
A013474,N,R_10_MSRR,Y,Y,97,PRE-1949+1949,0.0002022,0.0002022,0.0002022,0.0002022,0.41,0.875,4.48,6.55,6.38,0.45,0.29,0.0002022,N,N,N
A013528,N,R_05_MSRR,Y,Y,98,1950-1952,0.0002022,0.0002022,0.0002022,0.0002022,1.44,1.36,4.9,3.69,2.41,1.11,0.0002022,0.0002022,N,N,N
A013529,N,R_02_MSRR,Y,Y,99,1950-1952,0.0002022,0.0002022,3.83,3.0,3.31,1.85,4.22,1.03,2.54,3.58,0.0002022,0.0002022,N,N,N
A013706,N,R_02_MSRR,Y,Y,107,1950-1952,0.0002022,0.0002022,0.0002022,1.26,1.26,0.63,1.53,1.53,1.53,1.26,0.0002022,0.0002022,N,N,N
A013749,N,R_06_MSRR,Y,Y,110,1950-1952,0.0002022,0.0002022,0.0002022,0.0002022,2.2,0.0002022,2.43,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,N,N
A013753,N,R_06_MSRR,Y,Y,111,1950-1952,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.002783334,0.00557,0.00557,0.00233,0.0002022,0.0002022,0.0002022,N,N,N
A013755,N,R_06_MSRR,Y,Y,112,1950-1952,0.0002022,0.0002022,0.0002022,0.0002022,1.97,2.29,12.33,5.52,7.83,0.35,0.0002022,0.0002022,N,N,N
A013758,N,R_09_MSRR,Y,Y,113,1950-1952,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,2.65,5.3,5.3,5.3,0.0002022,0.0002022,0.0002022,N,N,N
A013789,N,R_10_MSRR,Y,Y,114,1950-1952,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,Y,Y
A013810,N,R_09_MSRR,Y,Y,115,1950-1952,0.43,0.38,0.36,0.45,0.55,0.225,0.49,2.31,0.63,0.35,0.17,0.31,N,N,N
A013811,N,R_09_MSRR,Y,Y,116,1950-1952,0.0002022,0.0002022,0.0002022,0.006670000000000001,0.44,0.715,3.5,3.83,3.56,0.0002022,0.0002022,0.0002022,N,N,N
A013831,N,R_10_MSRR,Y,Y,117,1950-1952,0.0002022,0.0002022,0.0002022,0.0002022,0.56,0.63,1.43,1.46,1.43,0.5,0.0002022,0.0002022,N,N,N
A013832,N,R_10_MSRR,Y,Y,118,1950-1952,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.44,1.47,1.17,1.47,1.02,0.0002022,0.0002022,N,N,N
A013862,N,R_09_MSRR,Y,Y,119,1950-1952,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.55,1.1,1.1,0.36,0.0002022,0.0002022,0.0002022,N,N,N
A013863,N,R_09_MSRR,Y,Y,120,1950-1952,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,Y,Y
A013864,N,R_09_MSRR,Y,Y,121,1950-1952,0.0002022,0.0002022,0.0002022,0.6,0.8,0.4,0.8,0.0002022,0.4,0.2,0.2,0.2,N,N,N
A013874,N,R_12_MSRR,Y,Y,122,1950-1952,0.16,0.01,1.12,1.29,0.91,1.065,7.37,8.91,4.55,1.64,15.92,0.02,N,N,N
A013932,N,R_09_MSRR,Y,Y,123,1950-1952,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.365,1.2,1.86,0.53,0.03,0.0002022,0.0002022,N,N,N
A013933,N,R_10_MSRR,Y,Y,124,1950-1952,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,Y,Y
A013973,N,R_04_MSRR,Y,Y,126,1950-1952,0.0002022,0.0002022,0.0002022,0.01,0.75,0.39,0.78,0.75,0.71,0.62,0.04,0.00498,N,N,N
A013974,N,R_04_MSRR,Y,Y,127,1950-1952,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,Y,Y
A013984,N,R_10_MSRR,Y,Y,128,1950-1952,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.24,4.75,4.85,3.39,4.47,0.04,0.0002022,N,N,N
A013985,N,R_10_MSRR,Y,Y,129,1950-1952,0.0002022,0.0002022,0.0002022,0.0002022,0.2,0.365,1.56,1.16,0.8,0.2,0.03,0.0002022,N,N,N
A013987,N,R_09_MSRR,Y,Y,130,1950-1952,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,Y,Y
A013989,N,R_12_MSRR,Y,Y,131,1950-1952,0.05,0.05,0.05,0.05,0.05,0.24,0.48,0.48,0.48,0.34,0.05,0.05,N,N,N
A014030,N,R_10_MSRR,Y,Y,132,1950-1952,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.6,2.63,2.5,3.03,0.0002022,0.0002022,0.0002022,N,N,N
A014033,N,R_10_MSRR,Y,Y,133,1950-1952,0.0002022,0.0002022,0.0002022,0.0002022,2.63,5.665,11.1,10.16,5.3,2.43,0.0002022,0.0002022,N,N,N
A014034,N,R_10_MSRR,Y,Y,134,1950-1952,0.0002022,0.0002022,0.0002022,0.0002022,1.23,1.865,5.56,6.96,5.3,2.46,0.0002022,0.0002022,N,N,N
A014044A,N,R_10_MSRR,Y,Y,135,1950-1952,0.0002022,0.0002022,0.0002022,0.1,1.0,1.3,3.86,5.36,3.5,1.16,0.0002022,0.0002022,N,N,N
A014044B,N,R_10_MSRR,Y,Y,136,1950-1952,0.0002022,0.0002022,0.0002022,0.06,0.36,0.615,2.33,2.66,1.6,0.8,0.0002022,0.0002022,N,N,N
A014045,N,R_09_MSRR,Y,Y,137,1950-1952,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,Y,Y
A014047,N,R_12_MSRR,Y,Y,138,1950-1952,0.0002022,0.0002022,0.0002022,0.0009,0.000258,0.005,0.01,0.01,0.01,0.01,0.0002022,0.0002022,N,N,N
A014048,N,R_10_MSRR,Y,Y,139,1950-1952,0.0002022,15.73,0.0002022,0.0002022,0.0002022,4.285,8.57,8.57,8.57,0.0002022,0.0002022,0.0002022,N,N,N
A014049,N,R_10_MSRR,Y,Y,140,1950-1952,0.0002022,7.92,0.0002022,0.0002022,0.0002022,7.24,14.48,14.48,14.48,2.0,0.0002022,0.0002022,N,N,N
A014051,N,R_10_MSRR,Y,Y,141,1950-1952,0.0002022,0.0002022,0.0002022,0.13,0.43,2.205,7.58,7.54,4.54,1.28,0.05,0.0002022,N,N,N
