BASIN,FLOWS_TO,2022-06
R_01,R_04_MSRR,16.234913042505557
R_02,R_02_MSRR,10.127024586584538
R_02_MSRR,R_03_MSRR,0.0
R_03,R_03_MSRR,1.5965258542905167
R_03_MSRR,R_04_MSRR,0.0
R_04,R_04_MSRR,8.547619654496351
R_04_MSRR,R_05_MSRR,0.0
R_05,R_05_MSRR,7.396237737544119
R_05_MSRR,R_06_MSRR,0.0
R_06,R_06_MSRR,16.5131280037466
R_06_MSRR,R_09_MSRR,0.0
R_07,R_08,1.4552782585835238
R_08,R_09_MSRR,4.352994085015958
R_09,R_09_MSRR,5.474414389462837
R_09_MSRR,R_10_MSRR,0.0
R_10,R_10_MSRR,2.54673695289881
R_10_MSRR,R_12_MSRR,0.0
R_11,R_12_MSRR,3.826525775039216
R_12,R_12_MSRR,3.7280804801984306
R_12_MSRR,R_13_MSRR,0.0
R_13,R_13_MSRR,0.2568138103763506
R_13_MSRR,R_13_MSRR,0.0
