BASIN,2022-08
R_14,0
R_14_M,0
R_15,0
R_15_M,0
R_16,0
R_16_M,0
R_17,0
R_17_M,0
R_18,0
R_18_M,0
R_19,0
R_19_M,0
R_20,0
R_21,0
R_21_M,0
R_22,0
R_23,0
R_24,0
R_24_M,0
R_25,0
R_26,0
R_27,0
R_28,0
