BASIN,2021-09
L_14,0.669878209
L_14_MSDC,0.669878209
L_15,0.669878209
L_15_MSDC,0.669878209
L_16,0.669878209
L_16_MSDC,0.669878209
L_17,0.669878209
L_17_MSRR,0.669878209
L_18,1
L_18_MSRR,1
L_19,1
L_19_MSRR,1
L_20,1
L_21,1
L_21_MSRR,1
L_23,1
L_24,1
L_24_LSR,1
L_25,1
L_26,1
L_27,1
L_28,1
