,available_flow_data,new_cumulative_flow,net_flow,sep_riparian_proportions,sep_rip_basin_allocations,sep_rip_basin_demand,sep_rip_basin_shortage,sep_rip_basin_shortage_%,sep_app_basin_allocations,sep_app_basin_demand,sep_app_basin_shortage,sep_app_basin_shortage_%
L_14,75.83147029999999,0.0,75.83147029999999,0.669878,0.013978121156626003,0.020866667,0.006888545843373995,0.3301219999999998,0.0,0.349037667,0.349037667,1.0
L_14_MSDC,75.83147029999999,0.0,0.0,0.669878,9.930488065663374,14.824323333,4.893835267336627,0.330122,0.0,16.690910332999998,16.690910332999998,1.0
L_15,1.3446148619999998,0.0,1.3446148619999998,0.669878,0.00066317922,0.00099,0.00032682078000000005,0.330122,0.0,2.412346833,2.412346833,1.0
L_15_MSDC,77.17608516199999,0.0,0.0,0.669878,16.90423266458412,25.234792999,8.330560334415878,0.330122,0.0,32.723828182999995,32.723828182999995,1.0
L_16,8.069950331,0.0,8.069950331,0.669878,3.8065835945813284,5.682502776,1.8759191814186713,0.3301219999999999,0.0,4.304586665999999,4.304586665999999,1.0
L_16_MSDC,85.246035493,0.0,0.0,0.669878,15.253433553270003,22.770464999999998,7.517031446729995,0.3301219999999998,0.0,37.316108003000004,37.316108003000004,1.0
L_17,1.4120925480000002,0.0,1.4120925480000002,0.669878,0.815781224598626,1.217805667,0.4020244424013739,0.33012199999999997,0.0,0.07588,0.07588,1.0
L_17_MSRR,86.658128041,0.0,0.0,0.669878,39.9329406120025,59.612258668,19.679318055997506,0.33012200000000014,0.0,39.390516999,39.390516999,1.0
L_18,5.716224735,5.716224735,5.716224735,1.0,2.200031877,2.2000318770000002,4.440892098500626e-16,2.0185580695113835e-16,3.516188,5.146838032999999,1.6306500329999989,0.3168255971034555
L_18_MSRR,345.59576874600003,258.93764070500004,0.0,1.0,10.932789510999998,10.932789511,1.7763568394002505e-15,1.6247974385795806e-16,56.542937,56.542870007000005,-6.699299999723962e-05,-1.1848178203360723e-06
L_19,1.524476018,1.524476018,1.524476018,1.0,0.00099,0.00099,0.0,0.0,0.017432,0.017432,0.0,0.0
L_19_MSRR,347.12024476400006,260.462116723,0.0,1.0,2.426323334,2.426323334,0.0,0.0,46.870972,46.87100533,3.333000000083075e-05,7.111005997453553e-07
L_20,21.29851218,21.29851218,21.29851218,1.0,0.6546662749999997,0.654666275,2.220446049250313e-16,3.3917220636580266e-16,1.6398881699999999,1.639888112,-5.799999991396021e-08,-3.536826658449501e-08
L_21,9.185851146000001,9.185851146000001,9.185851146000001,1.0,0.8908056659999999,0.8908056659999999,0.0,0.0,8.233729499999999,8.233726667,-2.8329999981480114e-06,-3.440726311091195e-07
L_21_MSRR,377.60460809000006,290.946480049,0.0,1.0,0.006137775,0.006137775,0.0,0.0,111.245915,111.24598251699999,6.751699999085758e-05,6.069162990271582e-07
L_23,14.59674573,14.59674573,14.59674573,1.0,11.30396,11.30396,0.0,0.0,0.36897299999999994,0.36897333299999996,3.3300000001901253e-07,9.025042468828298e-07
L_24,11.78236321,11.78236321,11.78236321,1.0,5.0782484069999985,5.078248406999999,8.881784197001252e-16,1.748985769336993e-16,0.14439930000000004,0.14439933300000005,3.300000001038583e-08,2.285329116470768e-07
L_24_LSR,253.22141597,253.22141597,0.0,1.0,1.086319,1.086319,0.0,0.0,0.00891,0.00891,0.0,0.0
L_25,226.84230703,226.84230703,0.0,1.0,0.336303333,0.336303333,0.0,0.0,3.3242999999999996,3.3242979999999998,-1.9999999998354667e-06,-6.0163078034384e-07
L_26,188.2193853,188.2193853,0.0,1.0,0.00297,0.00297,0.0,0.0,2.2545899999999994,2.2545866669999994,-3.3329999999942572e-06,-1.4783197509232222e-06
L_27,188.2193853,188.2193853,188.2193853,1.0,0.007919999999999998,0.00792,1.734723475976807e-18,2.1903074191626353e-16,0.12320937000000001,0.123209334,-3.6000000008806765e-08,-2.9218565542125864e-07
L_28,38.62292173,38.62292173,38.62292173,1.0,0.032238,0.032238,0.0,0.0,0.6735970000000001,0.6735966670000001,-3.3300000001901253e-07,-4.943611159807186e-07
