,available_flow_data,net_flow,basin_allocations,rip_upstream_allocations,rip_downstream_allocations,remainder,running_total,net_appropriative_available,flow_allocation
L_14,105.4413212,105.4413212,0.021718228796735996,0.021718228796735996,122.53979858889483,17.09847738889482,105.4413212,0,105.4413212
L_14_MSDC,105.4413212,0.0,16.09147125244382,16.113189481240557,122.51808036009808,17.09847738889482,0.0,0,0.0
L_15,2.094823119,2.094823119,0.0008214030603899999,0.0008214030603899999,106.42743051071466,104.33260739171466,2.094823119,0,2.094823119
L_15_MSDC,107.536144319,0.0,25.11088949357616,41.224900377877105,106.42660910765426,104.33260739171466,0.0,0,0.0
L_16,11.87008252,11.87008252,4.711054462155986,4.711054462155986,86.02677407623409,74.1566915562341,11.87008252,0,11.87008252
L_16_MSDC,119.406226839,0.0,23.145603295847646,69.08155813588075,81.3157196140781,74.1566915562341,0.0,0,0.0
L_17,2.138518986,2.138518986,1.2793424575678536,1.2793424575678536,59.449458775798306,57.310939789798304,2.138518986,0,2.138518986
L_17_MSRR,121.544745825,0.0,51.20473211423046,121.56563270767907,58.170116318230455,57.310939789798304,0.0,0,0.0
L_18,11.09097509,11.09097509,2.2913201290000003,2.2913201290000003,9.256704333,-1.8342707570000005,11.09097509,8,2.2913201290000003
L_18_MSRR,365.86532999400004,0.0,5.802548845,149.0978391033821,6.965384203999999,-1043.9666186175755,225.15133628429697,216,0.0
L_19,2.554988404,2.554988404,0.00099,0.00099,1.1638253589999998,-1.391163045,2.554988404,2,0.00099
L_19_MSRR,368.420318398,0.0,1.156656666,150.25548576938212,1.162835359,-229.09649773329696,227.70533468829694,218,0.0
L_20,34.92118973,34.92118973,0.6829048600000001,0.6829048600000001,0.689083553,-34.232106177,34.92118973,34,0.6829048600000001
L_21,15.26895852,15.26895852,1.0554753329999997,1.0554753329999997,1.0616540259999998,-14.207304494,15.26895852,14,1.0554753329999997
L_21_MSRR,418.61046664799994,0.0,0.006178693000000001,152.0000446553821,0.006178693000000001,-519.4609049725939,276.1571027452969,266,0.0
L_23,10.40220188,10.40220188,10.40219530901847,10.40219530901847,18.08871584601847,7.68651396601847,10.40220188,0,10.40219530901847
L_24,6.436066539,6.436066539,6.4360634466845905,6.4360634466845905,14.12258398368459,-6.436066539,6.436066539,0,6.4360634466845905
L_24_LSR,233.229609079,0.0,0.721136333,19.438337421703064,7.686520536999999,-816.9810115762784,216.35168132329693,213,0.0
L_25,216.39134065999997,0.0,1.836303333,1.8789423330000001,9.52282387,-601.87977768,216.35167165999997,214,0.0
L_26,188.23297209999998,0.0,0.00297,0.01089,9.52579387,-366.92431032999997,188.22505209999997,188,0.0
L_27,188.23297209999998,188.23297209999998,0.00792,0.00792,9.53371387,-178.69925823,188.23297209999998,188,0.00792
L_28,28.15836856,28.15836856,0.031749,0.031749,9.554572869999998,-18.603795690000002,28.15836856,28,0.031749
