BASIN,2022-06_ALLOCATIONS,2022-06_AVAILABLE_FLOW,2022-06_DEMAND
R_01,11.037096887000008,69.465544606,11.037096885000008
R_02,3.3519523499999995,34.700604260000006,3.3519523499999995
R_02_MSRR,101.59684594999999,2171.234639550466,101.59684594999999
R_03,0.0004044,7.398100615,0.00040439999999999996
R_03_MSRR,222.4406066,2172.8311654047566,222.4406066
R_04,0.036918469999999995,38.904516685000004,0.036918466999999996
R_04_MSRR,290.89880059999996,2197.6136981017585,290.89880059999996
R_05,2.4197168999999996,30.902263835999996,2.4197168999999996
R_05_MSRR,167.98404399999998,2205.0099358393027,167.98404399999998
R_06,0.4942569000000002,74.74643093499999,0.4942569000000002
R_06_MSRR,120.03743392999999,2221.5230638430494,120.03743393399999
R_07,0.016415399999999997,6.7425480790000005,0.016415399999999997
R_08,0.362124334,26.888827539,0.362124334
R_09,3.9211528334999994,22.595410160000004,3.9211528334999994
R_09_MSRR,124.11984213700002,2232.8057505761117,124.11984213400002
R_10,1.2226286,3.8493580399999994,1.2226286
R_10_MSRR,42.2474264,2235.3524875290104,42.2474264
R_11,11.08099335,16.950312049,11.08099335
R_12,7.612132000000002,16.103101363,7.612132000000002
R_12_MSRR,123.80505500000001,2242.907093784248,123.80505500000001
R_13,0.0,0.0,75.506011
R_13_MSRR,33.4802022,2243.1639075946246,33.4802022
