USER,BASIN,PRIORITY,WATER_RIGHT_TYPE,RIPARIAN,NULL_DEMAND,MAY_SEPT_ZERO_DEMAND,2021-05,2021-06,2021-07,2021-08,2021-09
A015685,L_25,125,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A015720,L_24,126,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A015894,L_21,130,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A015947,L_16,131,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A016106,L_23,132,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A016190,L_27,133,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A016218,L_15,134,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A016440,L_17_MSRR,135,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A016457,L_17_MSRR,136,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A016478,L_27,137,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A016527,L_27,139,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A016545,L_20,140,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A016904,L_27,142,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A017098,L_16,145,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A017237,L_16,146,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A017477,L_23,148,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A017479,L_16,149,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A017551,L_16_MSDC,150,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A017795,L_14,152,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A017919,L_28,154,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A017999,L_23,155,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A018192,L_24,157,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A018235,L_15,158,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A018277,L_27,159,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A018522,L_18,160,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A018958,L_27,163,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A018963,L_27,164,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A019013,L_28,165,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A019089,L_16,166,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A019241,L_16,167,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A019422,L_27,169,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A019444,L_23,170,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A019554,L_16,173,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A019798,L_23,178,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A019806,L_26,179,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A020005,L_16,181,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A020015,L_16,182,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A020114,L_16,185,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A020127,L_27,186,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A020129,L_14,187,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A020147,L_25,189,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A020261,L_20,190,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A020264,L_17,191,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A020384,L_21,192,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A020401,L_23,193,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A020435,L_24,194,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A020491,L_25,195,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A020493,L_16,196,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A020509,L_23,249,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A020557,L_17,197,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A020573,L_15_MSDC,198,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A020583,L_16_MSDC,199,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A020584,L_20,200,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A020728,L_16,202,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A020733,L_16,203,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A020769,L_17,204,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A020788,L_17,205,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A020825,L_28,207,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A020920,L_26,208,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A020951,L_16,209,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A020979,L_17,210,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A021015,L_19,211,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A021148,L_26,214,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A021156,L_26,215,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A021355,L_23,219,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A021658,L_18,221,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A021691,L_23,223,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A021817,L_27,224,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A021919,L_18,226,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A022038,L_24,228,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A022151,L_16,231,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A022273,L_16_MSDC,233,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A022342,L_24,234,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A022348,L_21_MSRR,235,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A022431,L_27,237,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A022498,L_23,239,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A022583,L_25,241,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A022608,L_17_MSRR,257,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A022661,L_14_MSDC,242,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A022667,L_25,243,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A022745,L_23,244,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A022767,L_24_LSR,245,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A022807,L_14_MSDC,246,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A022919,L_24,247,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A023027,L_27,251,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
