USER,BASIN,RIPARIAN,PRIORITY,2021-09_ALLOCATION,2021-09_DEMAND,2021-09_SHORTAGE,2108-09_%_SHORTAGE
S025784,L_21,N,30,0.002044,0.002044,0,0%
S025594,L_18,N,17,0.00273,0.00273,0,0%
A011315,L_18,N,43,0.110238,0.110238,0,0%
S025243,L_18,N,5,0.23473,0.23473,0,0%
A021271,L_21,N,218,0.03066,0.03066,0,0%
S004711,L_27,N,8,0,0,0,0%
S027648,L_18,N,9,0,0,0,0%
S024229,L_20,N,10,1.25,1.25,0,0%
S028299,L_20,N,11,0,0,0,0%
S009299,L_24,N,13,0,0,0,0%
S008709,L_18,N,14,0,0,0,0%
S010034,L_24,N,15,0,0,0,0%
S025690,L_18,N,18,2,2,0,0%
S025957,L_21,N,22,0.0612855,0.0612855,0,0%
S027791,L_18,N,27,0,0,0,0%
A001205,L_24,N,32,0,0,0,0%
A007006,L_19,N,36,0,0,0,0%
A009746,L_19,N,37,0.012482,0.012482,0,0%
A009774,L_20,N,38,0.004603,0.004603,0,0%
A009992,L_19,N,39,0,0,0,0%
A010915,L_18,N,41,0,0,0,0%
A010976,L_18_MSRR,N,42,0,0,0,0%
A011859,L_24,N,45,0,0,0,0%
A012100,L_27,N,46,0,0,0,0%
A012210,L_24,N,47,0,0,0,0%
A012330,L_18,N,48,0,0,0,0%
A012452,L_18_MSRR,N,49,0,0,0,0%
A012483,L_25,N,50,0,0,0,0%
A012510,L_25,N,51,0,0,0,0%
A012773,L_24,N,52,0,0,0,0%
A012877,L_18,N,53,0,0,0,0%
A012931,L_24,N,54,0,0,0,0%
A013076,L_18_MSRR,N,56,0,0,0,0%
A013105,L_18_MSRR,N,59,0,0,0,0%
A013163,L_24,N,62,0,0,0,0%
A013221,L_27,N,63,0,0,0,0%
A013256,L_25,N,64,0,0,0,0%
A013269,L_24_LSR,N,68,0,0,0,0%
A013317,L_21_MSRR,N,70,13,13,0,0%
A013330,L_26,N,71,0,0,0,0%
A013376,L_24,N,73,0,0,0,0%
A013384,L_18_MSRR,N,74,0,0,0,0%
A013393,L_24_LSR,N,75,0,0,0,0%
A013527,L_27,N,77,0,0,0,0%
A013586,L_25,N,79,0,0,0,0%
A013684A,L_18_MSRR,N,81,0,0,0,0%
A013958,L_23,N,85,0,0,0,0%
A013975,L_27,N,86,0,0,0,0%
A014092,L_27,N,99,0,0,0,0%
A014107,L_23,N,100,0,0,0,0%
A014178,L_18_MSRR,N,102,0,0,0,0%
A014301,L_24,N,104,0,0,0,0%
A014364,L_23,N,106,0,0,0,0%
A014379,L_24,N,107,0,0,0,0%
A014604,L_18_MSRR,N,109,0,0,0,0%
A014767,L_27,N,112,0,0,0,0%
A014797,L_27,N,113,0,0,0,0%
A014870,L_24,N,114,0,0,0,0%
A014966,L_26,N,117,0,0,0,0%
A015194,L_23,N,118,0,0,0,0%
A015515,L_23,N,122,0,0,0,0%
A015603,L_23,N,123,0,0,0,0%
A015685,L_25,N,125,0,0,0,0%
A015720,L_24,N,126,0,0,0,0%
A015724,L_24_LSR,N,127,0,0,0,0%
A015894,L_21,N,130,0,0,0,0%
A016106,L_23,N,132,0,0,0,0%
A016190,L_27,N,133,0,0,0,0%
A016478,L_27,N,137,0,0,0,0%
A016527,L_27,N,139,0,0,0,0%
A016545,L_20,N,140,0,0,0,0%
A016904,L_27,N,142,0,0,0,0%
A017081,L_24_LSR,N,144,0,0,0,0%
A017477,L_23,N,148,0,0,0,0%
A017919,L_28,N,154,0,0,0,0%
A017999,L_23,N,155,0,0,0,0%
A018192,L_24,N,157,0,0,0,0%
A018277,L_27,N,159,0,0,0,0%
A018522,L_18,N,160,0,0,0,0%
A018736,L_21,N,161,0,0,0,0%
A018958,L_27,N,163,0,0,0,0%
A018963,L_27,N,164,0,0,0,0%
A019013,L_28,N,165,0,0,0,0%
A019422,L_27,N,169,0,0,0,0%
A019444,L_23,N,170,0,0,0,0%
A019515,L_21,N,172,0,0,0,0%
A019557,L_23,N,174,0,0,0,0%
A019798,L_23,N,178,0,0,0,0%
A019806,L_26,N,179,0,0,0,0%
A019891,L_23,N,180,0,0,0,0%
A020071,L_23,N,183,0,0,0,0%
A020078,L_23,N,184,0,0,0,0%
A020127,L_27,N,186,0,0,0,0%
A020134,L_21,N,188,0.0241,0.0241,0,0%
A020147,L_25,N,189,0,0,0,0%
A020261,L_20,N,190,0,0,0,0%
A020384,L_21,N,192,0,0,0,0%
A020401,L_23,N,193,0,0,0,0%
A020435,L_24,N,194,0,0,0,0%
A020491,L_25,N,195,0,0,0,0%
A020584,L_20,N,200,0,0,0,0%
A020798,L_18,N,206,0,0,0,0%
A020825,L_28,N,207,0,0,0,0%
A020920,L_26,N,208,0,0,0,0%
A021015,L_19,N,211,0,0,0,0%
A021081,L_24,N,213,0,0,0,0%
A021148,L_26,N,214,0,0,0,0%
A021156,L_26,N,215,0,0,0,0%
A021355,L_23,N,219,0,0,0,0%
A021658,L_18,N,221,0,0,0,0%
A021691,L_23,N,223,0,0,0,0%
A021817,L_27,N,224,0,0,0,0%
A021919,L_18,N,226,0,0,0,0%
A021977,L_21,N,227,0,0,0,0%
A022038,L_24,N,228,0,0,0,0%
A022342,L_24,N,234,0,0,0,0%
A022348,L_21_MSRR,N,235,0,0,0,0%
A022431,L_27,N,237,0,0,0,0%
A022498,L_23,N,239,0,0,0,0%
A022583,L_25,N,241,0,0,0,0%
A022667,L_25,N,243,0,0,0,0%
A022745,L_23,N,244,0,0,0,0%
A022767,L_24_LSR,N,245,0,0,0,0%
A022919,L_24,N,247,0,0,0,0%
A020509,L_23,N,249,0,0,0,0%
A023027,L_27,N,251,0,0,0,0%
A023058,L_27,N,252,0,0,0,0%
A023328,L_27,N,260,0,0,0,0%
A023915,L_24,N,265,0,0,0,0%
A024004,L_27,N,266,0,0,0,0%
A024247,L_27,N,268,0,0,0,0%
A024271A,L_24_LSR,N,273,0,0,0,0%
A024271B,L_24_LSR,N,274,0,0,0,0%
A024301,L_24,N,276,0,0,0,0%
A024412,L_25,N,277,0,0,0,0%
A024569,L_23,N,279,0,0,0,0%
A024644,L_24,N,280,0,0,0,0%
A024706,L_23,N,283,0,0,0,0%
A024761,L_18,N,284,0,0,0,0%
A023998,L_23,N,287,0,0,0,0%
A024780,L_18,N,288,0,0,0,0%
A024783,L_24,N,290,0,0,0,0%
C000028,L_27,N,291,0,0,0,0%
A024817,L_28,N,292,0,0,0,0%
A024827,L_21,N,293,0,0,0,0%
A024865A01,L_18_MSRR,N,294,0,0,0,0%
A024865A02,L_18_MSRR,N,295,0.16,0.16,0,0%
A024865B,L_18_MSRR,N,296,0,0,0,0%
A024921,L_21_MSRR,N,302,0.00798,0.00798,0,0%
A024962,L_21_MSRR,N,304,0.000767,0.000767,0,0%
A024963,L_21_MSRR,N,305,0,0,0,0%
A025012,L_19_MSRR,N,307,0.007672,0.007672,0,0%
A025065,L_23,N,309,0,0,0,0%
A025137,L_21,N,311,0,0,0,0%
C000511,L_21,N,312,0,0,0,0%
C000512,L_21,N,313,0,0,0,0%
A025325,L_18,N,315,0,0,0,0%
C001166,L_28,N,320,0,0,0,0%
C001216,L_23,N,321,0,0,0,0%
A025674,L_21,N,323,0,0,0,0%
A025773,L_24,N,324,0,0,0,0%
A025830,L_21,N,325,0.205411,0.205411,0,0%
A025831,L_21,N,326,0,0,0,0%
A025869,L_24,N,327,0,0,0,0%
A025940,L_24,N,329,0,0,0,0%
A026113,L_21,N,332,0,0,0,0%
A026228,L_21,N,333,0,0,0,0%
A026241,L_24,N,335,0,0,0,0%
A026240,L_24,N,336,0,0,0,0%
A026503,L_23,N,341,0,0,0,0%
A026740,L_27,N,344,0,0,0,0%
A026975,L_27,N,345,0,0,0,0%
A026993,L_23,N,346,0,0,0,0%
A027022,L_26,N,347,0,0,0,0%
A027046,L_24,N,349,0,0,0,0%
A027081,L_21,N,350,0,0,0,0%
A027143,L_28,N,351,0,0,0,0%
A027158,L_24,N,353,0,0,0,0%
A027249,L_21,N,354,0,0,0,0%
A027362,L_18_MSRR,N,355,0,0,0,0%
A027424,L_27,N,356,0,0,0,0%
A028370,L_27,N,361,0,0,0,0%
A028365,L_19,N,363,0,0,0,0%
A028386,L_24,N,364,0,0,0,0%
A028828,L_21,N,366,0,0,0,0%
A028860,L_21,N,367,0,0,0,0%
A029044,L_24,N,369,0,0,0,0%
A029070,L_23,N,370,0,0,0,0%
A029277,L_23,N,373,0,0,0,0%
A029332,L_26,N,374,0,0,0,0%
A029515,L_27,N,381,0,0,0,0%
A029772,L_23,N,388,0,0,0,0%
A029802,L_24_LSR,N,389,0,0,0,0%
A029848,L_23,N,390,0,0,0,0%
A029849,L_23,N,391,0,0,0,0%
A029850,L_23,N,392,0,0,0,0%
A029858,L_24,N,393,0,0,0,0%
A030186,L_21,N,400,0.42573,0.42573,0,0%
A030124,L_27,N,401,0,0,0,0%
A030125,L_27,N,402,0,0,0,0%
D030256,L_21,N,406,0,0,0,0%
D030460,L_21,N,410,0,0,0,0%
D030741,L_19,N,414,0,0,0,0%
D031331,L_28,N,430,0,0,0,0%
A031501,L_24,N,433,0,0,0,0%
D031602,L_24,N,438,0,0,0,0%
A031620,L_27,N,440,0,0,0,0%
D031671,L_24,N,442,0,0,0,0%
A031719,L_24,N,444,0,0,0,0%
A031737,L_27,N,446,0,0,0,0%
A031743,L_18_MSRR,N,450,0,0,0,0%
A023144,L_27,N,256,0.0866667,0.086666667,0,0%
A018849,L_24,N,162,0.0666667,0.066666667,0,0%
A019652,L_28,N,176,0.666667,0.666666667,0,0%
A013301,L_25,N,69,3.3144,3.314398,0,0%
S024683,L_21_MSRR,N,20,5.16667,5.166666667,0,0%
A010795,L_18_MSRR,N,40,37.1667,37.16666667,0,0%
A001029,L_26,N,31,2.24667,2.246666667,0,0%
A013261,L_18_MSRR,N,65,0.216667,0.216666667,0,0%
A013539,L_27,N,78,0.00189267,0.001892667,0,0%
A029901,L_18_MSRR,N,396,18.9867,18.98666667,0,0%
A024884,L_20,N,297,0.119687,0.11968663,0,0%
A029272,L_21,N,372,1.30735,1.307345667,0,0%
S000652,L_14,Y,10000000,8.04E-06,1.20E-05,0,33%
S002378,L_17,Y,10000000,0.000663179,0,0,33%
S004347,L_14_MSDC,Y,10000000,1.654599176,2.47,0.82,33%
S005225,L_15_MSDC,Y,10000000,0.706906397,1.055276,0.35,33%
S005226,L_15_MSDC,Y,10000000,0.699787824,1.044649333,0.34,33%
S008661,L_15_MSDC,Y,10000000,0.000663179,0,0,33%
S008664,L_15_MSDC,Y,10000000,0.000663179,0,0,33%
S009168,L_16,Y,10000000,0.000663179,0,0,33%
S009291,L_17_MSRR,Y,10000000,1.031612442,1.54,0.51,33%
S009292,L_17_MSRR,Y,10000000,5.575619626,8.323333333,2.75,33%
S013563,L_16,Y,10000000,0.221059809,0.33,0.11,33%
S013709,L_16,Y,10000000,0.011849029,0.017688333,0.01,33%
S013760,L_16,Y,10000000,0.000663179,0,0,33%
S013814,L_16,Y,10000000,0.649781863,0.97,0.32,33%
S014058,L_16,Y,10000000,1.094134408,1.633333333,0.54,33%
S014059,L_14_MSDC,Y,10000000,0.357268378,0.533333333,0.18,33%
S014083,L_17_MSRR,Y,10000000,0.98248804,1.466666667,0.48,33%
S014084,L_17_MSRR,Y,10000000,1.920317533,2.866666667,0.95,33%
S014085,L_17_MSRR,Y,10000000,0.647548936,0.966666667,0.32,33%
S014924,L_16_MSDC,Y,10000000,0.000663179,0,0,33%
S014925,L_16_MSDC,Y,10000000,0.558231841,0.833333333,0.28,33%
S014926,L_17_MSRR,Y,10000000,0.000663179,0,0,33%
S014927,L_17_MSRR,Y,10000000,0.000663179,0,0,33%
S014928,L_17_MSRR,Y,10000000,0.000663179,0,0,33%
S014929,L_17_MSRR,Y,10000000,0.937829493,1.4,0.46,33%
S014930,L_17_MSRR,Y,10000000,0.000663179,0,0,33%
S014931,L_17_MSRR,Y,10000000,0.000663179,0,0,33%
S015334,L_17_MSRR,Y,10000000,0.000663179,0,0,33%
S015459,L_17_MSRR,Y,10000000,1.011516096,1.51,0.5,33%
S015462,L_17_MSRR,Y,10000000,0.066987821,0.1,0.03,33%
S015463,L_17_MSRR,Y,10000000,1.317427145,1.966666667,0.65,33%
S015473,L_17_MSRR,Y,10000000,0.267951284,0.4,0.13,33%
S015474,L_17_MSRR,Y,10000000,0.000663179,0,0,33%
S015520,L_15_MSDC,Y,10000000,1.674695523,2.5,0.83,33%
S015823,L_15_MSDC,Y,10000000,0.036843301,0.055,0.02,33%
S015828,L_16_MSDC,Y,10000000,0.730167248,1.09,0.36,33%
S015862,L_17,Y,10000000,0.000663179,0,0,33%
S015865,L_15_MSDC,Y,10000000,2.344573731,3.5,1.16,33%
S015916,L_16,Y,10000000,0.301880838,0.450650333,0.15,33%
S015944,L_16_MSDC,Y,10000000,0.066987821,0.1,0.03,33%
S016032,L_16_MSDC,Y,10000000,0.054837347,0.081861667,0.03,33%
S016038,L_16_MSDC,Y,10000000,0.728554851,1.087593,0.36,33%
S016039,L_16_MSDC,Y,10000000,0.000663179,0,0,33%
S016046,L_16_MSDC,Y,10000000,0.897148459,1.339271,0.44,33%
S016047,L_16_MSDC,Y,10000000,0.48490206,0.723866,0.24,33%
S016048,L_16_MSDC,Y,10000000,0.669878209,1,0.33,33%
S016049,L_16_MSDC,Y,10000000,0.6111482,0.912327333,0.3,33%
S016050,L_16_MSDC,Y,10000000,1.136792252,1.697013333,0.56,33%
S016051,L_16_MSDC,Y,10000000,0.000663179,0,0,33%
S016052,L_16_MSDC,Y,10000000,0.000663179,0,0,33%
S016053,L_16_MSDC,Y,10000000,0.229987276,0.343327,0.11,33%
S016054,L_15_MSDC,Y,10000000,0.48812931,0.728683667,0.24,33%
S016055,L_16_MSDC,Y,10000000,0.000663179,0,0,33%
S016056,L_16_MSDC,Y,10000000,0.860321904,1.284296,0.42,33%
S016057,L_16_MSDC,Y,10000000,0.995920661,1.486719,0.49,33%
S016058,L_16_MSDC,Y,10000000,0.000663179,0,0,33%
S016059,L_15_MSDC,Y,10000000,0.012057808,0.018,0.01,33%
S016060,L_15_MSDC,Y,10000000,0.309745655,0.462391,0.15,33%
S016061,L_16_MSDC,Y,10000000,0.165106669,0.246472667,0.08,33%
S016062,L_16_MSDC,Y,10000000,0.000663179,0,0,33%
S016065,L_16_MSDC,Y,10000000,0.000663179,0,0,33%
S016066,L_16_MSDC,Y,10000000,0.010048173,0.015,0,33%
S016067,L_16_MSDC,Y,10000000,0.43873517,0.654947667,0.22,33%
S016068,L_16_MSDC,Y,10000000,0.07599545,0.113446667,0.04,33%
S016069,L_15_MSDC,Y,10000000,0.469617002,0.701048333,0.23,33%
S016628,L_14,Y,10000000,0.00999101,0.014914667,0,33%
S016680,L_17_MSRR,Y,10000000,0.000663179,0,0,33%
S016681,L_17_MSRR,Y,10000000,0.98248804,1.466666667,0.48,33%
S016687,L_14_MSDC,Y,10000000,2.491946937,3.72,1.23,33%
S016732,L_17_MSRR,Y,10000000,0.627879972,0.937304667,0.31,33%
S016892,L_14,Y,10000000,0.000663179,0,0,33%
S017033,L_17_MSRR,Y,10000000,0.000663179,0,0,33%
S017034,L_17_MSRR,Y,10000000,0.593946621,0.886648667,0.29,33%
S017035,L_17_MSRR,Y,10000000,1.949533824,2.910281,0.96,33%
S017036,L_17_MSRR,Y,10000000,0.000663179,0,0,33%
S017037,L_17_MSRR,Y,10000000,0.000663179,0,0,33%
S017038,L_17_MSRR,Y,10000000,0.60881948,0.908851,0.3,33%
S018138,L_15_MSDC,Y,10000000,0.120578078,0.18,0.06,33%
S018141,L_15_MSDC,Y,10000000,0.286373827,0.427501333,0.14,33%
