BASIN,2022-06_ALLOCATIONS,2022-06_AVAILABLE_FLOW,2022-06_DEMAND
R_01,11.037096887000008,69.465544606,11.037096885000008
R_02,3.3519523499999995,34.700604260000006,3.3519523499999995
R_02_MSRR,0.0,34.700604260000006,0.0
R_03,0.0004044,7.398100615,0.00040439999999999996
R_03_MSRR,0.0,42.098704875,0.0
R_04,0.036918469999999995,38.904516685000004,0.036918466999999996
R_04_MSRR,0.0,150.46876616600002,0.0
R_05,2.4197168999999996,30.902263835999996,2.4197168999999996
R_05_MSRR,0.0,181.371030002,0.0
R_06,0.4942569000000002,74.74643093499999,0.4942569000000002
R_06_MSRR,0.0,256.11746093700003,0.0
R_07,0.016415399999999997,6.7425480790000005,0.016415399999999997
R_08,0.362124334,26.888827539,0.362124334
R_09,3.9211528334999994,22.595410160000004,3.9211528334999994
R_09_MSRR,0.0,305.601698636,0.0
R_10,1.2226286,3.8493580399999994,1.2226286
R_10_MSRR,0.0,309.45105667599995,0.0
R_11,11.08099335,16.950312049,11.08099335
R_12,7.612132000000002,16.103101363,7.612132000000002
R_12_MSRR,0.0,342.50447008799995,0.0
R_13,0.0,0.0,75.506011
R_13_MSRR,0.0,342.5044700879999,0.0
