USER,BASIN,PRIORITY,WATER_RIGHT_TYPE,RIPARIAN,NULL_DEMAND,MAY_SEPT_ZERO_DEMAND,2021-05,2021-06,2021-07,2021-08,2021-09,2021-11
S002720,L_18,10000000,Statement of Div and Use,Y,N,N,0.000123,0.000128,0.000128,0.000128,0.0000923,0.36
S025714,L_18,10000000,Statement of Div and Use,Y,N,N,0.015344,0.005114667,0.00099,0.00099,0.00099,0.00099
S027330,L_18,10000000,Statement of Div and Use,Y,N,N,0.083333333,0.00099,0.00099,0.00099,0.00099,0.00099
S021485,L_18,10000000,Statement of Div and Use,Y,Y,Y,0.000099,0.000099,0.00099,0.00099,0.00099,0.00099
S025702,L_18,10000000,Statement of Div and Use,Y,Y,Y,0.000099,0.000099,0.00099,0.00099,0.00099,0.00099
S027883,L_18,10000000,Statement of Div and Use,Y,Y,Y,0.000099,0.000099,0.00099,0.00099,0.00099,0.024127667
S008502,L_18,10000000,Statement of Div and Use,Y,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099,0.00099
S012930,L_18,10000000,Statement of Div and Use,Y,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099,2.666666667
S015906,L_18,10000000,Statement of Div and Use,Y,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099,0.00099
S015923,L_18,10000000,Statement of Div and Use,Y,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099,0.00099
S017651,L_18,10000000,Statement of Div and Use,Y,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099,0.00099
S019193,L_18,10000000,Statement of Div and Use,Y,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099,0.00099
S022557,L_18,10000000,Statement of Div and Use,Y,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099,0.00099
S022558,L_18,10000000,Statement of Div and Use,Y,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099,0.031164667
S022777,L_18,10000000,Statement of Div and Use,Y,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099,0.012275533
S025893,L_18,10000000,Statement of Div and Use,Y,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099,0.001227667
S027331,L_18,10000000,Statement of Div and Use,Y,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099,0.013809993
S028035,L_18,10000000,Statement of Div and Use,Y,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099,0.00099
S028289,L_18,10000000,Statement of Div and Use,Y,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099,0.026288417
S025834,L_18,10000000,Statement of Div and Use,Y,N,N,0.004664903,0.004797888,0.004675133,0.004664903,0.003114962,0.00099
S025250,L_18,10000000,Statement of Div and Use,Y,N,N,0.003172333,0.00307,0.007264,0.007570667,0.005114667,0.006798
S025833,L_18,10000000,Statement of Div and Use,Y,N,N,0.005830943,0.005600499,0.005984165,0.006137887,0.005892321,0.00099
S026037,L_18,10000000,Statement of Div and Use,Y,N,N,0.00099,0.005136667,0.005396667,0.005396667,0.006003333,0.053
S025703,L_18,10000000,Statement of Div and Use,Y,N,N,0.008897,0.012616,0.01319,0.013172,0.010879,0.005830943
S025263,L_18,10000000,Statement of Div and Use,Y,N,N,0.014270326,0.013809993,0.014270326,0.014270326,0.013809972,0.003247947
S016134,L_18,10000000,Statement of Div and Use,Y,N,N,0.024127667,0.024127667,0.024127667,0.024127667,0.024127667,0.152503
S025236,L_18,10000000,Statement of Div and Use,Y,N,N,0.022867333,0.023704,0.035507,0.024664667,0.027704,0.026666667
S025590,L_18,10000000,Statement of Div and Use,Y,N,N,0.029766417,0.029357417,0.029766417,0.029766417,0.029357417,4.09E-05
S025237,L_18,10000000,Statement of Div and Use,Y,N,N,0.014270307,0.034064604,0.035200091,0.035200091,0.034064604,0.00099
S025889,L_18,10000000,Statement of Div and Use,Y,N,N,0.04,0.053333333,0.053333333,0.053333333,0.04,0.00099
S027435,L_18,10000000,Statement of Div and Use,Y,N,N,0.039353333,0.054626,0.048825667,0.052026,0.051496,0.15
S027297,L_18,10000000,Statement of Div and Use,Y,N,N,0.05524,0.05524,0.05524,0.05524,0.05524,0.05524
S025792,L_18,10000000,Statement of Div and Use,Y,N,N,0.054,0.065,0.065,0.073,0.069666667,0.00099
S025227,L_18,10000000,Statement of Div and Use,Y,N,N,0.091439667,0.091439667,0.091439667,0.091439667,0.083153667,0.00099
S026853,L_18,10000000,Statement of Div and Use,Y,N,N,0.15,0.18,0.21,0.28,0.28,0.010014667
S025354,L_18,10000000,Statement of Div and Use,Y,N,N,0.00099,0.2925,0.2925,0.2925,0.2925,0.00099
S025847,L_18,10000000,Statement of Div and Use,Y,N,N,0.141547667,0.482788,0.540378667,0.520739,0.459934,0.00099
S003106,L_18,10000000,Statement of Div and Use,Y,N,N,0.46,0.55,0.69,0.69,0.69,0.00099
S025066,L_18_MSRR,10000000,Statement of Div and Use,Y,N,N,0.00099,0.000736844,0.000982178,0.000982178,0.000859511,0.3
S014091,L_18_MSRR,10000000,Statement of Div and Use,Y,N,N,0.1,0.00099,0.00099,0.00099,0.00099,0.3
S014082,L_18_MSRR,10000000,Statement of Div and Use,Y,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099,0.00099
S016686,L_18_MSRR,10000000,Statement of Div and Use,Y,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099,1.366666667
S022400,L_18_MSRR,10000000,Statement of Div and Use,Y,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099,0.166666667
S028233,L_18_MSRR,10000000,Statement of Div and Use,Y,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099,0.00099
S014080,L_18_MSRR,10000000,Statement of Div and Use,Y,N,N,0.00099,0.133333333,0.166666667,0.00099,0.00099,0.566666667
S014081,L_18_MSRR,10000000,Statement of Div and Use,Y,N,N,0.00099,0.133333333,0.166666667,0.00099,0.00099,0.9
S015461,L_18_MSRR,10000000,Statement of Div and Use,Y,N,N,0.433333333,0.966666667,0.979,0.891666667,0.125,1.266666667
S016322,L_18_MSRR,10000000,Statement of Div and Use,Y,N,N,0.00099,0.00099,0.00099,1.8,0.4,0.166666667
S016684,L_18_MSRR,10000000,Statement of Div and Use,Y,N,N,0.00099,0.00099,0.00099,0.00099,1.266666667,1.733333333
S014090,L_18_MSRR,10000000,Statement of Div and Use,Y,N,N,3.033333333,3.433333333,4.466666667,3.1,1.466666667,0.00099
S016685,L_18_MSRR,10000000,Statement of Div and Use,Y,N,N,0.00099,0.00099,0.00099,0.00099,2.833333333,0.00099
S020828,L_18_MSRR,10000000,Statement of Div and Use,Y,N,N,0.00099,0.00099,0.00099,0.00099,4.833333333,0.00099
S015955,L_19,10000000,Statement of Div and Use,Y,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099,0.00099
